"Id","Date","TotalSteps","TotalDistance","TrackerDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","DayOfWeek","TotalSleepMinutes","AverageHeartRate","DailyIntensity","AvgDailyIntensity","WeightKg","WeightPounds","Fat","BMI","IsManualReport","LogId"
1503960366,2016-04-05,14844,9.72999954223633,9.72999954223633,0,2.94000005722046,0.759999990463257,6.03999996185303,0,36,18,341,736,2083,"Tue",337,79.2683486729235,485,0.336805583333333,53.2999992370605,117.506384062611,22,22.9699993133545,"True",1459900799000
1927972279,2016-04-10,2105,1.46000003814697,1.46000003814697,0,0,0,1.46000003814697,0,0,0,139,805,2442,"Sun",47,79.2683486729235,139,0.09652775,129.600006103516,285.719105247709,NA,46.1699981689453,"False",1460313206000
2347167796,2016-04-03,7485,4.94999980926514,4.94999980926514,0,0,0,4.94999980926514,0,0,0,324,491,2035,"Sun",463,75.254288715136,324,0.224999916666667,63.4000015258789,139.773077589277,10,24.7700004577637,"True",1459727999000
2873212765,2016-04-06,7350,4.94000005722046,4.94000005722046,0,0,0,4.94000005722046,0,0,0,382,1058,1910,"Wed",NA,79.2683486729235,382,0.265277833333333,56.7000007629395,125.002104340889,NA,21.4500007629395,"True",1459987199000
2873212765,2016-04-07,9353,6.30999994277954,6.30999994277954,0,0.370000004768372,0.689999997615814,5.23999977111816,0,5,17,363,1055,2035,"Thu",NA,79.2683486729235,412,0.286111166666667,57.2000007629395,126.104415651814,NA,21.6499996185303,"True",1460073599000
2891001357,2016-04-05,2063,1.61000001430511,0,1.60934400558472,0,0,1.61000001430511,0,0,0,630,99,1144,"Tue",NA,79.2683486729235,120,0.166666666666667,88.4000015258789,194.888643135527,NA,25.0300006866455,"True",1459900799000
4445114986,2016-03-30,2600,1.74000000953674,1.74000000953674,0,0,0,1.74000000953674,0,0,0,163,1277,2032,"Wed",478,79.2683486729235,163,0.113194458333333,92.4000015258789,203.707133622927,NA,35.0099983215332,"True",1459382399000
4558609924,2016-04-08,4195,2.76999998092651,2.76999998092651,0,0,0,2.76999998092651,0,0,0,241,1199,1778,"Fri",NA,73.3732732732733,241,0.167361166666667,69.4000015258789,153.000813320377,NA,27.1399993896484,"True",1460159999000
4702921684,2016-04-04,7810,6.3600001335144,6.3600001335144,0,0.479999989271164,1.20000004768372,4.67999982833862,0,6,27,216,746,2931,"Mon",586,79.2683486729235,288,0.200000041666667,99.6999969482422,219.800868670471,NA,26.1100006103516,"True",1459814399000
6962181067,2016-03-30,15491,10.2399997711182,10.2399997711182,0,1.28999996185303,4.48999977111816,4.46000003814697,0,18,77,272,641,2244,"Wed",399,74.9834314366689,480,0.333333375,61.5,135.584291243775,NA,24.0300006866455,"True",1459382399000
6962181067,2016-03-31,14097,9.31999969482422,9.31999969482422,0,3.5,1.91999995708466,3.90000009536743,0,50,32,234,595,2188,"Thu",432,80.8191591271953,448,0.311111166666667,61.5,135.584291243775,NA,24.0300006866455,"True",1459468799000
6962181067,2016-04-01,10467,6.98000001907349,6.98000001907349,0,0.699999988079071,2.4300000667572,3.84999990463257,0,9,45,252,602,2014,"Fri",529,75.6297581607201,369,0.25625,60.9000015258789,134.261521034652,NA,23.7800006866455,"True",1459555199000
6962181067,2016-04-02,12437,8.30000019073486,8.30000019073486,0,3.75999999046326,1.28999996185303,3.24000000953674,0,50,24,219,732,2115,"Sat",532,79.8912320797839,417,0.289583333333333,61.2000007629395,134.922906139214,NA,23.8899993896484,"True",1459641599000
6962181067,2016-04-03,12307,8.14000034332275,8.14000034332275,0,1.00999999046326,3.25999999046326,3.86999988555908,0,14,51,218,589,2055,"Sun",415,75.5289669471887,362,0.251388875,61.5,135.584291243775,NA,24.0300006866455,"True",1459727999000
6962181067,2016-04-04,18952,12.8000001907349,12.8000001907349,0,5.90999984741211,1.23000001907349,5.65999984741211,0,73,20,327,570,2437,"Mon",568,78.9061818181818,586,0.4069445,62.4000015258789,137.568454967427,NA,24.3500003814697,"True",1459814399000
6962181067,2016-04-05,12010,7.94000005722046,7.94000005722046,0,2.38000011444092,0.949999988079071,4.6100001335144,0,38,17,287,692,2158,"Tue",399,81.9745557350565,435,0.302083375,61.7000007629395,136.025217450139,NA,24.1000003814697,"True",1459900799000
6962181067,2016-04-06,12480,8.85999965667725,8.25,3.97279500961304,4.17999982833862,0.689999997615814,4,0,55,14,276,593,2170,"Wed",406,79.8711698371113,469,0.325694458333333,62.2000007629395,137.127528761064,NA,24.2800006866455,"True",1459987199000
6962181067,2016-04-07,13417,9.64999961853027,8.86999988555908,1.92630195617676,3.39000010490417,1.25,4.90999984741211,0.100000001490116,45,16,284,665,2244,"Thu",502,84.8342593563267,451,0.3131945,62.2000007629395,137.127528761064,NA,24.2800006866455,"True",1460073599000
6962181067,2016-04-08,14400,10.8800001144409,9.52000045776367,5.45686388015747,2.47000002861023,2.88000011444092,5.53000020980835,0,27,37,276,697,2188,"Fri",430,79.1466173591473,431,0.299305583333333,61.7000007629395,136.025217450139,NA,24.1000003814697,"True",1460159999000
6962181067,2016-04-09,12495,8.26000022888184,8.26000022888184,0,2.21000003814697,1.0900000333786,4.96000003814697,0,33,19,324,609,2231,"Sat",403,87.7769588045234,461,0.320138916666667,62.0999984741211,136.907061452898,NA,24.2399997711182,"True",1460246399000
6962181067,2016-04-10,10148,6.71000003814697,6.71000003814697,0,1.36000001430511,0.219999998807907,5.13000011444092,0,19,7,306,679,2100,"Sun",455,83.4044651566056,377,0.261805583333333,62.5,137.788913865625,NA,24.3899993896484,"True",1460332799000
